RANK,NAME,TICKER,INDUSTRIES,Country,EMPLOYEES,Glassdoor Rating,City,1 year stock performance,return on equity,Analyst Recommendation Mean,Operating Income,Operating income per employee,MSCI SECTOR,Sector perf,RELATIVE STOCK PERF,,,,,,,,,
73,General Motors,GM,Automotive (Automotive and Suppliers),United States,157000,4,Detroit,-38.77,14.56,2.2,18012999680,114732,MSCI World Automobiles Index,-48.96,10.19,,,,,,,,,
74,T Rowe Price,TROW,Banking and Financial Services,United States,7529,3.8,Baltimore,-32.17,19.89,3.5,3268300032,434094,MSCI ACWI Financials Index,-9.23,-22.94,,,,,,,,,
76,Alibaba Group,BABA,"IT, Internet, Software & Services",China,254941,3.8,Hangzhou,-12.45,-0.12,1.9,1.4609E+11,573034,MSCI World Information Technology Index,-30.79,18.34,,,,,,,,,
77,Intel,INTC,"IT, Internet, Software & Services",United States,121100,4.3,Santa Clara,-45.67,14,3.3,20846000128,172138,MSCI World Information Technology Index,-30.79,-14.88,,,,,,,,,
78,Viatris,VTRS,Drugs & Biotechnology,United States,37000,3.7,Pittsburgh,-21.64,3.99,2.6,5998499840,162121,"MSCI World Pharmaceuticals, Biotechnology and Life Sciences Index",-0.61,-21.03,,,,,,,,,
80,Mitsubishi Electric,8058.T,"Engineering, Manufacturing",Japan,145696,3.9,Tokyo,9.47,17.49,2,1.40638E+12,9652831,MSCI World Industrials Index,-13.2,22.67,,,,,,,,,
81,Pirelli,PIRC.MI,Automotive (Automotive and Suppliers),Italy,30690,4,Milan,-31.82,8.42,2,1228393984,40025,MSCI World Automobiles Index,-48.96,17.14,,,,,,,,,
82,Enel,ENEL.MI,Utilities,Italy,66279,4,Rome,-19.12,6.64,2.1,14380000256,216961,MSCI World Utilities Index,-6.99,-12.13,,,,,,,,,
85,Naver,035420.KS,"IT, Internet, Software & Services",South Korea,4696,4.1,Seoul,-43.97,3.47,2,1.7065E+12,363394133,MSCI World Information Technology Index,-30.79,-13.18,,,,,,,,,
88,Sony,SONY,Conglomerate,Japan,108900,4.1,Tokyo,-32.46,13.46,1.2,2.01649E+12,18516868,MSCI World Index,-17.73,-14.73,,,,,,,,,
91,Novartis,NVS,Drugs & Biotechnology,Switzerland,108000,4,Basel,-0.17,36.99,2.2,19399999488,179629,"MSCI World Pharmaceuticals, Biotechnology and Life Sciences Index",-0.61,0.44,,,,,,,,,
92,The Hartford,HIG,Banking and Financial Services,United States,18100,4,Hartford,4.93,12.69,2.1,3324000000,183646,MSCI ACWI Financials Index,-9.23,14.16,,,,,,,,,
93,SK Group,034730.KS,Conglomerate,South Korea,117590,3.7,Seoul,-23.28,11.65,1.5,1.77945E+13,151326414,MSCI World Index,-17.73,-5.55,,,,,,,,,
94,De'Longhi,DLG.MI,"Engineering, Manufacturing",Italy,10000,4,Treviso,-22.58,11.61,2.5,321176000,32117,MSCI World Industrials Index,-13.2,-9.38,,,,,,,,,
96,Mastercard,MA,Banking and Financial Services,United States,24000,4.3,Purchase,2.26,147.74,1.8,13080000512,545000,MSCI ACWI Financials Index,-9.23,11.49,,,,,,,,,
97,Electricite de France,EDF.PA,Utilities,France,167157,4,Paris,15.94,-6.42,2.6,7233999872,43276,MSCI World Utilities Index,-6.99,22.93,,,,,,,,,
98,Verbund,VER.VI,Utilities,Austria,3184,4.7,Vienna,-21.58,26.71,3.2,2274543104,714366,MSCI World Utilities Index,-6.99,-14.59,,,,,,,,,
99,Panasonic,6572.T,"Engineering, Manufacturing",Japan,240198,3.8,Kadoma,-20.23,-4.54,3,791000000,3293,MSCI World Industrials Index,-13.2,-7.03,,,,,,,,,
